250	-0.02376	-0.02981	-0.03059	-0.02965
251	-0.02345	-0.02996	-0.03073	-0.02958
252	-0.02536	-0.02995	-0.02978	-0.02977
253	-0.02703	-0.02975	-0.0305	-0.03011
254	-0.02672	-0.03089	-0.03256	-0.03166
255	-0.02791	-0.03058	-0.0319	-0.03182
256	-0.03	-0.0302	-0.03221	-0.03249
257	-0.0296	-0.03089	-0.03397	-0.03274
258	-0.0299	-0.03102	-0.03398	-0.03204
259	-0.03204	-0.03034	-0.03358	-0.03211
260	-0.03135	-0.0303	-0.03349	-0.03285
261	-0.03201	-0.03195	-0.03383	-0.03324
262	-0.0317	-0.03136	-0.03323	-0.03317
263	-0.03087	-0.03196	-0.03279	-0.03434
264	-0.02945	-0.03249	-0.03256	-0.03412
265	-0.03124	-0.03316	-0.03133	-0.0328
266	-0.03027	-0.03127	-0.0302	-0.03207
267	-0.02912	-0.03069	-0.02889	-0.03132
268	-0.02746	-0.0298	-0.02762	-0.03058
269	-0.02459	-0.02698	-0.02545	-0.0284
270	-0.01944	-0.02364	-0.02448	-0.02705
271	-0.01178	-0.01905	-0.01945	-0.02385
272	-0.00386	-0.01175	-0.01557	-0.01956
273	0.00858	-0.00249	-0.00796	-0.01289
274	0.02524	0.01089	0.00209	-0.00567
275	0.05077	0.02814	0.018	0.00539
276	0.07924	0.05222	0.03617	0.02075
277	0.12029	0.08353	0.06369	0.04042
278	0.17657	0.1263	0.09871	0.06671
279	0.24869	0.18052	0.1437	0.10372
280	0.34047	0.25096	0.20397	0.1503
281	0.48349	0.3638	0.29554	0.22594
282	0.66571	0.50334	0.41724	0.32324
283	0.89004	0.67836	0.55884	0.44501
284	1.15855	0.88586	0.73677	0.58641
285	1.47489	1.15176	0.95634	0.76596
286	1.84329	1.44246	1.21138	0.97472
287	2.28509	1.80179	1.50035	1.22778
288	2.80074	2.21144	1.85796	1.52586
289	3.39205	2.71106	2.27706	1.88259
290	4.08886	3.27048	2.75619	2.30366
291	4.87852	3.92392	3.31432	2.78698
292	5.75734	4.65011	3.95412	3.34127
293	6.74581	5.47673	4.6934	3.97038
294	7.86671	6.42029	5.51983	4.72311
295	9.11062	7.45619	6.43071	5.56256
296	10.47919	8.59783	7.46232	6.51317
297	11.95189	9.86538	8.59875	7.58273
298	13.54825	11.23952	9.82368	8.76207
299	15.28286	12.70989	11.18731	10.04526
300	17.10733	14.32869	12.66052	11.46226
301	19.00007	16.00636	14.19837	12.97074
302	20.99467	17.79878	15.81786	14.58612
303	23.03984	19.66402	17.4783	16.30713
304	25.12057	21.54892	19.23512	18.08724
305	27.25814	23.4303	21.00673	19.94375
306	29.44717	25.43073	22.89279	21.89846
307	31.67869	27.44659	24.85119	23.88175
308	33.94461	29.4904	26.87293	25.9485
309	36.23814	31.61061	28.88416	28.07649
310	38.49557	33.74325	30.93449	30.19803
311	40.76781	35.87271	32.98597	32.3222
312	42.96832	37.96352	34.96616	34.47336
313	45.20025	40.07752	37.02631	36.64545
314	47.34513	42.12251	39.02134	38.8282
315	49.47538	44.14468	41.00202	40.90157
316	51.53618	46.15157	42.91294	43.00625
317	53.63262	48.0815	44.88598	45.08963
318	55.54925	49.9534	46.72473	47.04189
319	57.43521	51.78551	48.52919	48.90497
320	59.24202	53.59036	50.31723	50.81161
321	60.9612	55.27516	52.04295	52.57549
322	62.55882	56.95869	53.66095	54.28936
323	64.15299	58.52723	55.23797	55.94265
324	65.64561	60.06228	56.75355	57.50621
325	67.06322	61.49126	58.20055	58.95859
326	68.47186	62.88201	59.62642	60.41898
327	69.79501	64.18726	60.97883	61.74716
328	70.99727	65.43275	62.18949	62.93575
329	72.23619	66.68919	63.43903	64.15894
330	73.39142	67.84424	64.57137	65.32394
331	74.41652	68.92795	65.58817	66.33746
332	75.35999	69.93679	66.58024	67.29873
333	76.3224	70.91341	67.59207	68.26383
334	77.15088	71.69619	68.4388	69.12172
335	77.91572	72.50607	69.27515	69.91862
336	78.63316	73.24961	70.00769	70.63393
337	79.36897	73.97047	70.73169	71.34907
338	79.95296	74.59492	71.36791	71.99506
339	80.49022	75.23455	72.00262	72.53981
340	81.02484	75.84263	72.60099	73.09103
341	81.53463	76.41843	73.19664	73.66549
342	82.04026	76.96472	73.70398	74.16137
343	82.52084	77.52996	74.22545	74.6091
344	82.95309	77.98557	74.69857	75.07794
345	83.3511	78.39133	75.14863	75.48847
346	83.73099	78.79596	75.5806	75.85064
347	84.01345	79.15443	75.98788	76.1862
348	84.30376	79.45747	76.31869	76.49292
349	84.56086	79.77396	76.63264	76.74092
350	84.87244	80.09425	76.92741	77.00597
351	85.09119	80.34236	77.24953	77.23891
352	85.2888	80.61679	77.5181	77.43835
353	85.50688	80.88036	77.7738	77.6777
354	85.68913	81.12083	78.0009	77.86489
355	85.82507	81.32875	78.24516	78.05927
356	85.97779	81.52849	78.41369	78.24529
357	86.13834	81.69576	78.5938	78.43574
358	86.25073	81.85612	78.7874	78.5782
359	86.41161	82.03873	78.98164	78.73064
360	86.50568	82.19221	79.10225	78.79813
361	86.62041	82.31973	79.24677	78.83864
362	86.73421	82.42769	79.4019	78.92303
363	86.85745	82.57565	79.56831	79.04658
364	86.96346	82.68144	79.69559	79.10136
365	87.06562	82.79489	79.81658	79.21098
366	87.12522	82.86993	79.93224	79.2989
367	87.19881	82.99061	80.05728	79.34539
368	87.28909	83.10029	80.1333	79.3928
369	87.32395	83.19428	80.22909	79.48882
370	87.35312	83.26112	80.30759	79.51057
371	87.39093	83.35006	80.39255	79.565
372	87.42569	83.39549	80.453	79.62907
